word,type,note,url,sefaria_ref
ὁ,Greek,"Greek ταξεώτης, -ου ὁ, “officer of a magistrate, member of militia palatina",https://chavrutai.com/yerushalmi/Eruvin/3#5-5,Jerusalem_Talmud_Eruvin.3.5.5
λάγυνος,Greek,"Greek λάγυνος, ὁ.",https://chavrutai.com/yerushalmi/Eruvin/3#7-3,Jerusalem_Talmud_Eruvin.3.7.3
ὁ,Greek,"Greek λάγυνος, ὁ.",https://chavrutai.com/yerushalmi/Eruvin/3#7-3,Jerusalem_Talmud_Eruvin.3.7.3
ἐξέδρα,Greek,"Greek ἐξέδρα, ή. The exedra",https://chavrutai.com/yerushalmi/Eruvin/4#1-7,Jerusalem_Talmud_Eruvin.4.1.7
ή,Greek,"Greek ἐξέδρα, ή. The exedra",https://chavrutai.com/yerushalmi/Eruvin/4#1-7,Jerusalem_Talmud_Eruvin.4.1.7
γαληνός,Greek,"Greek γαληνός, -ή, -όν “calm” (adj.). Assuming the ship being a sailboat which does not move in the absence of wind, it is difficult to see why walking the entire deck should be forbidden by anybody. It seems unlikely that here also one should switch the statements: for the colleagues there is no reason to forbid; for R. Zeˋira there might be an argument that he expected to be elsewhere on the Sabbath and now he is not there.",https://chavrutai.com/yerushalmi/Eruvin/4#1-7,Jerusalem_Talmud_Eruvin.4.1.7
ή,Greek,"Greek γαληνός, -ή, -όν “calm” (adj.). Assuming the ship being a sailboat which does not move in the absence of wind, it is difficult to see why walking the entire deck should be forbidden by anybody. It seems unlikely that here also one should switch the statements: for the colleagues there is no reason to forbid; for R. Zeˋira there might be an argument that he expected to be elsewhere on the Sabbath and now he is not there.",https://chavrutai.com/yerushalmi/Eruvin/4#1-7,Jerusalem_Talmud_Eruvin.4.1.7
όν,Greek,"Greek γαληνός, -ή, -όν “calm” (adj.). Assuming the ship being a sailboat which does not move in the absence of wind, it is difficult to see why walking the entire deck should be forbidden by anybody. It seems unlikely that here also one should switch the statements: for the colleagues there is no reason to forbid; for R. Zeˋira there might be an argument that he expected to be elsewhere on the Sabbath and now he is not there.",https://chavrutai.com/yerushalmi/Eruvin/4#1-7,Jerusalem_Talmud_Eruvin.4.1.7
λιμήν,Greek,"This is Babli spelling. With the Halakhah one should read לִמֵן, Greek λιμήν. They arrived at the harbor Friday evening after nightfall. If they entered the Sabbath domain after nightfall, RR. Joshua and Aqiba would have to stay within their 4 cubits. For the problem of Rabban Gamliel and R. Eleazar ben Azariah see the Halakhah (Notes 57–59).",https://chavrutai.com/yerushalmi/Eruvin/4#2-1,Jerusalem_Talmud_Eruvin.4.2.1
πῆγμα,Greek,"Greek πῆγμα, τό. This expression is used for all structures that are not human dwellings. The pegma",https://chavrutai.com/yerushalmi/Eruvin/5#1-1,Jerusalem_Talmud_Eruvin.5.1.1
τό,Greek,"Greek πῆγμα, τό. This expression is used for all structures that are not human dwellings. The pegma",https://chavrutai.com/yerushalmi/Eruvin/5#1-1,Jerusalem_Talmud_Eruvin.5.1.1
τύραννος,Greek,"Greek τύραννος, ὁ (Arukh",https://chavrutai.com/yerushalmi/Eruvin/5#1-4,Jerusalem_Talmud_Eruvin.5.1.4
ὁ,Greek,"Greek τύραννος, ὁ (Arukh",https://chavrutai.com/yerushalmi/Eruvin/5#1-4,Jerusalem_Talmud_Eruvin.5.1.4
πύργος,Greek,"Greek πύργος, ὁ.",https://chavrutai.com/yerushalmi/Eruvin/5#1-5,Jerusalem_Talmud_Eruvin.5.1.5
