row,headword,sense_index,pos,etymology,definition,refs,other_refs
1407,עֲשִׂיאֵל,1,masculine,,"Simeonite, Ασιηλ [Asiēl].",I Chronicles 4:35,
1408,עֲשָׂיָה,1,masculine,,"Ασαιας [Asaias], etc.; 𝔊L in Kgs. Αζαριας [Azarias];—",,
1409,עָשָׁן²,1,locative (place name),,"in Shephelah of Judah, in Simeon according to, Levit. city; Ασαν [Asan], etc.; = בּוֹר עָשָׁן, q.v. p. 92 supr.",Joshua 15:42; Joshua 19:7; I Chronicles 4:32; I Chronicles 6:44,
1410,עֵ֫שֶׂק,1,spring/fountain,,"in SW. Pal. (expl. as contention);—locality unknown, 𝔊 Ἀδικία [Adikia].",Genesis 26:20,
1411,עֵ֫שֶׁק,1,masculine,,"Benjamite, Ασηλ, Ασεκ [Asēl, Asek].",I Chronicles 8:39,
1412,עַשְׁתָּרוֹת³,1,locative (place name),,"Ασταρωθ [Astarōth], etc., E. of Jordan (name from worship of diff. forms of ʿAštart; in Egypt. ʿastiratu, as E. Jordan loc. WMMAs. u. Eur. 162, 313; cf. TelAm. n. pr. loc. Aštarti);—in Bashan (near Edrei) (-רֹת), (all + אֶדְרֶ֑עִי); = בְּעֶשְׁתְּרָה (i.e. בֵּית עַשְׁתָּרָה); also עַשְׁתְּרֹת קַרְנַיִם (𝔊 Ασταρωθ Καρναιν [Astarōth Karnain], cf. GFM JBL xvi (1897), 155 f. who expl. name as ʿAshtereth of the two-peaked mt.); cf. further, קַרְנַיִם;—site prob. either Tel ʿAštara, 21 miles E. of Sea of Galilee, or Muzeirib, 8 miles further S.; poss. both occur in OT; cf. especially Dr Ashtaroth in HastDB Di Gn 14:5 BuhlGeogr. 248 ff. GASm Ency. Bib. 335 f.",Deuteronomy 1:4; Joshua 12:4; Joshua 13:12; Joshua 13:31; Joshua 9:10; I Chronicles 6:56; Joshua 21:27; Genesis 14:5; Amos 6:13,
1413,עַשְׁתֹּ֫רֶת,1,goddess,,"ʿAštōreth, ʿAštart, ʿAštéreth (v. infr.) (MI17 עשתר כמש; Ph. עשתרת (+ often in n. pr.), n. pr. עבד עשתר Cook Acad. Jan. 18, 1896 Sab. n. pr. dei עתֿתר v. especially OsZMG xx (1866), 279 f. DHM ib. xxxvii (1883), 376 FellSab. Götternamen, ZMG liv (1900), 231 ff., especially 237 ff.; Assyrian Ištar; Old Aramaic Palm. עתר (= עתֿתר) in n. pr.; in Egyptian ʿastirati WMMAs. u. Eur. 313; Gk. Ἀστάρτη [Astartē]; on other Gk. equivalents (e.g. Ἀφροδίτη [Aphroditē]) cf. LewyFremdw. 148, 186 f. 250);——ֶֹ prob. artificial, to suggest בֹּשֶׁת, orig. -תַּרְתְּ, -תֶּרֶת, cf. Ištar, Ασταρτη [Astartē], etc.; ע׳ + 2 times; pl. -תָּרוֹת + 3 times + -רֹת; read prob. sg. (Dr al.);—ʿAštart, ʿAštereth (Ασταρτη [Astartē], pl. Ασταρται [Astartai], but; Ασταρωθ [Astarōth]), ancient Sem. goddess (with male counterpart in Moab., Sab. and appar. Ph.); Phoenician diety, עשׁתרת אֱלֹהֵי צִדֹנִים, ע׳ שִׁקֻּץ צ׳; so prob. בֵּית ע׳ (reading sg.; v. especially Dr); elsewhere pl., of various local goddesses, called עַשְׁתָּרוֹת (cf. Assyrian ilâni u ištarat = gods and Ištars (i.e. goddesses), usually + בעל(ים), as Canaanitish deities; ‖ אֱלֹהֵי הַנֵּכָר.—Vid. especially Dr Ashtoreth in HastDB; on Ištar JastrRel. Bab. pass. especially 202 f.; on ʿAthtar BaeRel. 117 f.; on Ph. ʿAštart Pietschm Gesch. Phön. 184 f.; on ʿAshtoreth Barton JBL x (1891), 73 ff. GFM Ency. Bib.",I Kings 11:5; Judges 2:13; I Samuel 7:4; I Samuel 31:10; Judges 10:6; I Samuel 7:4; I Kings 11:5; I Kings 11:33; II Kings 23:13; I Samuel 31:10; Judges 2:13; Judges 10:6; I Samuel 7:4; I Samuel 12:10; I Samuel 7:3,
1414,עַתַּי,1,masculine,Ι [I],εθθει [eththei],,
1415,עֲתָיָה,1,masculine,,"Αθεα [Athea], 𝔊L Αθαρασθας [Atharasthas] (very dub.); = עוּתַי.",Nehemiah 11:4; I Chronicles 9:4,
1416,עָתְנִי,1,masculine,,"Levite, Γοονει [Goonei], (Γ [G])οθνι [othni].",I Chronicles 26:7,
1417,עָתְנִיאֵל,1,masculine,,"son of Ḳenaz, a hero in Isr., Γοθονιηλ [Gothoniēl]; (×2); name of family.",Joshua 15:17; Judges 1:13; Judges 3:9; Judges 3:11; I Chronicles 4:13; I Chronicles 27:15,
1418,פָּארָן,1,locative (place name),,"Paran, Φαραν [Pharan] (cf. n.pr. פארן Sin. Inscr.);—usually מִדְבַּר פ׳ home of Ishmael (E), traversed by Isr. in Exodus (E), (all P); it lay NE. from (the traditional) Sinai, with Gulf of Akaba and the ʿArabah as its E. border (s. איל פארן); here was הַר פ׳,—perhaps coast-range of mts. along W. shore of Gulf of Akaba; פ׳ alone (×2) (betw. Midian and Egypt); (loc. dub.).— v. ii. sub.—Vid. RobBR i, 177 f. PalmerDesert of Exodus, 284 ff., Di Dr Dt.",Genesis 21:21; Numbers 12:16; Numbers 10:12; Numbers 13:2; Numbers 13:26; Deuteronomy 33:2; Habakkuk 3:3; I Kings 11:18; Deuteronomy 1:1; I Samuel 25:1,"BDB, מָעוֹן³; BDB, עוּן"
1419,פְּדַהְאֵל,1,masculine,"Ēl hath ransomed; cf. Ph. בעלפדה; Assyrian Pudu-ilu, Pudi-ilu COTGloss.",—prince of Naphtali; Φαδαηλ [Phadaēl].,Numbers 34:28,
1420,פְּדָהצוּר,1,masculine,the Rock hath ransomed,Manassite; Φαδασσουρ [Phadassour].,Numbers 1:10; Numbers 2:20; Numbers 7:54; Numbers 7:59; Numbers 10:23,
1421,פָּדוֹן,1,masculine,ransom; cf. Ph. פדי,head of family of Nethinim; Φαδων [Phadōn].,Ezra 2:44; Nehemiah 7:46,
1422,פְּדָיָהוּ,1,masculine,"י׳ hath ransomed; in late Bab. Padâma, HilprUniv. Pa. Exp. ix. 27, 68",—פְּדָיָה:,,
1423,פּוּאָה,1,masculine,,"in Issachar, Φουα [Phoua], etc.;—פּוּאָה (v. GFM); פֻּוָּה.",Judges 10:1; I Chronicles 7:1; Genesis 46:13; Numbers 26:3,
1424,פּוּט,1,gentilic (people group),,"prob. Libyans, or Lib. tribe; usually named with African peoples:; (𝔊 usually Λίβυες [Libyes]); (P) = (Φουδ [Phoud]); + (for MT פּוּל; 𝔊 Φουδ [Phoud]),—vid. Di JenZA x. 325 ff..",Nahum 3:9; Jeremiah 46:9; Ezekiel 27:10; Ezekiel 30:5; Ezekiel 38:5; Genesis 10:6; I Chronicles 1:8; Isaiah 66:19; Genesis 10:6,
1425,פּוֹטִי פֶ֫רַע,1,masculine,,"priest of On, Joseph’s father-in-law (Egyptian Pʾ-diʾ-pʾ-Rʿ, i.e. he whom the Ra gave, v. SetheDe aleph prosthetico in ling. aeg. (1892), 31; Dr in HastingsDB);—, (E), (P), Πετεφρης [Petephrēs], A Πετρεφης [Petrephēs].",Genesis 41:45; Genesis 41:50; Genesis 46:20,
1426,פּוּטִיאֵל,1,masculine,,"Eleazar’s father-in-law, Φουτιηλ [Phoutiēl].",Exodus 6:25,
1427,פּוֹטִיפַר,1,masculine,,"Joseph’s master (abbrev. from foll.);— (E), (RJ), Πετεφρης [Petephrēs], etc.",Genesis 37:36; Genesis 39:1,
1428,פּוּל,1,masculine,,"'= תִּגְלַת פְּלֶאסֶר (q.v.) (Assyrian Pulu; Babylonian name of TP, SchrSBAk 1887, 592; KB ii, 287, cf. 277 TieleGesch. 266f.; cf. (through Pers. trad., EMeyEntstehung, 30) Πῶρος [Pōros], Canon of Ptol. KAT2, 490); (×2), Φουα[λ [l]].—, v..",II Kings 15:19; I Chronicles 5:26; Isaiah 66:19,"BDB, פּוּט"
1429,פּוּעָה,1,feminine,,"a midwife, Φουα [Phoua].",Exodus 1:15,
1430,פּוֹרָתָא,1,masculine,,"son of Haman, Φαραδαθα, Βαρδαθα [Pharadatha, Bardatha].",Esther 9:8,
1431,פַּ֫חַת מוֹאָב,1,masculine,,"post-exile name;—בֶּן־פ׳ מ׳ (Φααβ[θ [th]]μωαβ [mōab], 𝔊L Ερωμαθ [Erōmath]), בְּנֵי־פ׳ מ׳ =; (all Φααθμωαβ [Phaathmōab], etc.); פ׳ מ׳ (both Φααδ[θ [th]]μωαβ [mōab], etc.).",Nehemiah 3:11; Ezra 2:6; Nehemiah 7:11; Ezra 8:4; Ezra 10:30; Nehemiah 10:15,
1432,פִּי הַחִירֹת,1,locative (place name),,"on E. border of Egypt, (𝔊 ἡ ἔπαυλις [hē epaulis]), (Ε [E](π [p])ιρωθ [irōth]) + v (read מִפִּי ה׳ Sam. 𝔖 𝔙 𝔗, or מִפְּנֵי פִי ה׳, for MT מִפְּנֵי ה׳, cf. Di). Site unknown.",Exodus 14:2; Exodus 14:9; Numbers 33:7; Numbers 33:8,
1433,פִּינְחָס,1,masculine,"Egyptian Pe-nehasi, the negro, according to Lauth Moses (1868), 71, ZMG xxv (1871), 139 f. cf. NesEg 112, AJSL xiii (1897) 174 Baen, yet v. Di",—,Exodus 6:25,
1434,פִּינֹן,1,masculine,,"Edomite, Φινες, Φινων, Φινα [Phines, Phinōn, Phina];—cf..",Genesis 36:41; I Chronicles 1:52,"BDB, פּוּנֹן"
1435,פִּישׁוֹן,1,river,"Thes sub פושׁ, cf. especially NesMarg. 5, but dub.","—one of the rivers of Eden, Φ [Ph](ε [e])ισων [isōn], (on theories of identif. v. Comm., also reff. sub גִּיחוֹן).",Genesis 2:11,
1436,פִּיתוֹן,1,masculine,,"descendant of Saul = פִּיתֹן, Φιθων, Φαιθων [Phithōn, Phaithōn], 𝔊L Φιθωθ [Phithōth].",I Chronicles 8:35; I Chronicles 9:41,
1437,פְּלָאיָה,1,masculine,,𝔊L Φαλαιας [Phalaias].,Nehemiah 8:7; Nehemiah 10:11,
1438,פֶּ֫לֶג,1,masculine,,"son of Eber, Φαλεκ [Phalek], 𝔊L Φαλεγ [Phaleg]:, פָּ֑לֶג.",Genesis 10:25; Genesis 11:17; Genesis 11:18; Genesis 11:19; I Chronicles 1:19; I Chronicles 1:25; Genesis 11:16,
1439,פִּלְדָּשׁ,1,masculine,,"Nahorite, Φαλδας [Phaldas].",Genesis 22:22,
1440,פַּלּוּא,1,masculine,"DHMEpigr. Denkm. 9, 1 cp. Liḥy. n.pr. פלה","—son of Reuben, Φαλλου [Phallou](ς [s]), etc.; v. also.",Genesis 46:9; Exodus 6:14; Numbers 26:5; Numbers 26:8; I Chronicles 5:3,"BDB, פֶּ֫לֶת"
1441,פִּלְחָא,1,masculine,Baer פִּלְחָה,"n.pr.m. post-exilic name; Φαδαεις [Phadaeis], 𝔊L Φαλλαει [Phallaei].",Nehemiah 10:25,
1442,פִּלְטָ֑י,1,masculine,,"priest, Φελητει [Phelētei], etc.",Nehemiah 12:17,
1443,פַּלְטִי²,1,masculine,,Φαλτει [Phaltei] (perhaps abbrev. from פַּלְטִיאֵל);—,,
1444,פַּלְטִיאֵל,1,masculine,,Φαλτ [Phalt](ε [e])ιηλ [iēl]:,,
1445,פְּלַטְיָ֫הוּ,1,masculine,,"Φαλτιας, Φαλεττι [Phaltias, Phaletti](α [a]), etc.:—",,
1446,פְּלָיָה,1,masculine,late Assyrian Pi-lîâma HilprUniv. Pa. Exp. ix. 68,"—, Φαρα, Φαλαια, Φαδια [Phara, Phalaia, Phadia].",I Chronicles 3:24,
1447,פָּלָל,1,masculine,,"a wall-builder, Φαλαλ [Phalal], א Φαλακ [Phalak], A Φαλαξ [Phalax], 𝔊L Φαλλη [Phallē].",Nehemiah 3:25,
1448,פְּלַלְיָה,1,masculine,י׳ hath interposed,"—priest, Φαλ [Phal](λ [l])αλια [alia](ς [s]).",Nehemiah 11:12,
1449,פְּלֶ֫שֶׁת,1,territorial (land/region),,"Philistia, poet. and late;—פְּלָ֑שֶׁת (ישְׁבֵי) (Φυλιστιειμ [Phylistieim]; elsewhere (οἱ [oi]) ἀλλόφυλοι [allophyloi]), elsewhere פְּלֶשֶׁת, =; Assyrian Palastu, Pilistu, COT DlPa 288 f. Gk. Παλαιστίνη [Palaistinē] Herod. ii. 104, 106, vii. 89 JosAnt. i, 6, 2 (also Φυλιστίνου [Phylistinou]); v. Rel Pal. 73 f.",Exodus 15:14; Joel 4:4; Isaiah 14:29; Isaiah 14:31; Psalms 60:10; Psalms 108:10; Psalms 83:8; Psalms 87:4; Genesis 10:14,
1450,פֶּ֫לֶת,1,masculine,,,,
1451,פְּנוּאֵל,1,,"face of God, cf. GFM; late Assyrian Panîli HilprUniv. Pa. Exp. ix. 68","—Φανουηλ [Phanouēl], but in Gn εἶδος [eidos] (τοῦ [tou]) Θεοῦ [Theou]:",Judges 8:8,
1452,פְּנִנָּה,1,feminine,proposes sg. of foregoing?,"wife of Elkanah (×2), Φεννανα [Phennana].",I Samuel 1:2; I Samuel 1:4,
1453,פָּסֵחַ,1,masculine,limper,—,,
1454,פָּ֑עוּ,1,locative (place name),,"in Edom, פָּ֑עוּ = פָּ֑עִי; Φογωρ [Phogōr], 𝔊L Ch Φαουα [Phaoua].",Genesis 36:39; I Chronicles 1:50,
1455,פְּעוֹר,1,,,Φογωρ [Phogōr]:,,
1456,פְּעֻלְּתַי,1,masculine,,"Levite, Ιαφθοσλααθι [Iaphthoslaathi], A Φολλαθι [Phollathi], 𝔊L Φελλαθι [Phellathi].",I Chronicles 26:5,
1457,פַּעֲרַי,1,masculine,,(cf. Ph. n.pr.m. פער) = נַעֲרַי q.v.,II Samuel 23:35,
1458,פְּקוֹד,1,gentilic (people group),,"et terr. a people in Bab. army (Φακουκ [Phakouk]; A και Φουδ [kai Phoud]); יוֹשְׁבֵי פ׳; = Assyrian Puḳûdu, tribe in SE. Babylonia, bordering Elam WklSargon i. 241 SchrCOT Je DlPa 240 f.",Ezekiel 23:23; Jeremiah 50:21,
1459,פֶּ֫קַח,1,masculine,,"usurping king of Israel, Φακεε [Phakee] (opening (? of eyes), or cf. Syriac ܦܶܩܚܳܐ [פקחא] flower; cf. n.pr.m. פקח, פקחי, on old Isr. seals; in Assyrian Paḳaḫa (acc.) SchrCOT );—.",II Kings 15:30; II Kings 15:25; II Kings 15:27; II Kings 15:29; II Kings 15:30; II Kings 15:31; II Kings 15:32; II Kings 15:37; II Kings 16:1; II Kings 16:5; Isaiah 7:1; II Chronicles 28:6,
1460,פְּקַחְיָה,1,masculine,,"king of Israel (י׳ hath opened the eyes);—, Φακεσιας, Φακειας [Phakesias, Phakeias].",II Kings 15:22; II Kings 15:23; II Kings 15:26,
1461,פִּרְאָם,1,masculine,,"Canaanite king of Jarmuth, Φειδων [Pheidōn], 𝔊L Φεδαμ [Phedam], A Φερααμ [Pheraam].",Joshua 10:3,
1462,פָּרָה⁴,1,locative (place name),,"in Benj., הַפּ׳, Φαρα, Αφρα [Phara, Aphra].",Joshua 18:23,
1463,פְּרוּדָא,1,masculine,,"post-exil. name (Φαδουρα [Phadoura]), = פְּרִידָא (Φερειδα [Phereida]; 𝔊L as Ezr).",Ezra 2:55; Nehemiah 7:56,
1464,פָּרוּחַ,1,masculine,,"in Issachar, 𝔊 Φουασουδ [Phouasoud], A Φαρρον [Pharron], 𝔊L Βαρσαουχ [Barsaouch].",I Kings 4:17,
1465,פַּרְמַשְׁתָּא,1,masculine,,"son of Haman, Μαρμασιμ [Marmasim](ν [n])α [a].",Esther 9:9,
1466,פַּרְנָךְ,1,masculine,,"of Zebulun, Φαρ [Phar](α [a])ναχ [nach].*",Numbers 34:25,
1467,פָּרַס,1,territorial (land/region),,"Persia, Περσῶν [Persōn] (genit.), τῇ Περσίδι [tē Persidi] (𝔊 et Θ [Th]), Μήδων [Mēdōn] (OPers. Pârsa, Persian, Persia, SpiegAPK 231, NPers. پَارْسِ, فَارْسِ [pārsi, fārsi]; Arabic فَارِسُ [fārisu] );—פ׳ +, פָּרָ֑ס v +;—in late lit., v (×2), = (×2); + 11 times Ezr Dn + (c. מָדַי); פ׳; is doubted by Toy (who, reads כּוּשׁ, after Gr), but Krae defends.",Daniel 11:2; II Chronicles 36:20; II Chronicles 36:22; II Chronicles 36:20; II Chronicles 36:20; II Chronicles 36:22; II Chronicles 36:23; Ezra 1:1; Ezra 1:2; Daniel 10:1; Esther 1:3; Esther 1:14; Esther 1:18; Esther 1:19; Esther 10:2; Daniel 8:20; Ezekiel 27:10; Ezekiel 38:5; Ezekiel 27:10,
1468,פַּרְעֹשׁ²,1,masculine,,"Φορος, Φαρες [Phoros, Phares], etc. (flea; cf. GrayProp. N. 94);—",,
1469,פֶּ֫רֶץ²,1,,,,,
1470,פֶּ֫רֶשׁ,1,masculine,,"Manassite, A 𝔊L Φαρες [Phares].",I Chronicles 7:16,
1471,פַּרְשַׁנְדָּתָא,1,masculine,,"a son of Haman, Φαρσαν και Νεσταιν, Φαρσανεσταν [Pharsan kai Nestain, Pharsanestan], etc.",Esther 9:7,
1472,פְּרָת,1,,,"flum. Euphrates, Ευφρατης [Euphratēs] (Assyrian Purattu DlPa 169 ff., whence OPers. Ufrâtu, SpiegAPK 211);—the greatest river of W. Asia; פ׳, נְהַר פ׳ (both secondary phrases in J), נְהַר פ׳ also (Qr, v. ); (D); נהר om., (where Ew Hi Marti, after SchickZPV iii. 11, think of some other פְּרָת, but Gf Gie and most defend Euphrates), (cf. supr.); name not certainly attested before D Je; on earlier הַנָּהָר for this river v..",Genesis 2:14; Genesis 15:18; II Samuel 8:3; Jeremiah 46:2; Jeremiah 46:6; Jeremiah 46:10; Deuteronomy 1:7; Deuteronomy 11:24; Joshua 1:4; II Kings 23:29; II Kings 24:7; I Chronicles 5:9; I Chronicles 18:3; Jeremiah 13:4; Jeremiah 13:5; Jeremiah 13:6; Jeremiah 13:7; Jeremiah 51:63; II Chronicles 35:20; Genesis 2:14,"BDB, נָהָר; BDB, נ"
1473,פַּשְׁחוּר,1,masculine,,"Πασχωρ, Φα [Paschōr, Pha](δυ [dy])σσουρ [ssour], etc.:",,
1474,פְּתוּאֵל,1,masculine,,"father of prophet Joel (𝔊 Βαθουηλ [Bathouēl], i.e. בְּתוּאֵל).",Joel 1:1,
1475,פְּתַחְיָה,1,masculine,,,,
1476,פִּתֹם,1,locative (place name),,"Pithom, Π [P](ε [e])ιθω [ithō], A Πιθωμ [Pithōm] (Egyptian Patum, Per-Atum, house of (god) Atum) one of the עָרֵי מִסְכְּנוֹת built by Isr. for Pharaoh; identif. by Naville with Tel el-Maskhûta, near E. end of Wady Tumilat, Naville Pithom, 1885 Di-Ry ad loc. Di SBAk, 1885, 889 ff. BädEgypt (4), 159.",Exodus 1:11,
1477,פַּתְרוֹס,1,territorial (land/region),,"'= Upper Egypt, Παθουρης, Φαθουρης [Pathourēs, Phathourēs], etc. (Egyptian p(ĕ)-tĕ-res, south land, in Assyrian Paturisi, ErmanZAW x (1890), 118 f. Steind BAS i. 344 WMM Hastings DB; also (on Assyrian) Schr KGF 283 f. DlPa 310);—always in connexion with מִצְרַיִם, etc.:, אֶרֶץ פ׳; מִפַּתְרֹס proposes also (for מִתְרַפֵּס) NeJBL x (1891), 152 (plausibly), cf. Che ib. xi (1892), 125 Kau ψψ [psps] crit. n..",Isaiah 11:11; Jeremiah 44:15; Ezekiel 30:14; Jeremiah 44:1; Ezekiel 29:14; Psalms 68:31,
1478,צַאֲנָן,1,locative (place name),,"Σεννααρ [ν [n]], perhaps = צְנָן in the Shephelah of Judah, Σεννα [Senna](μ [m]).",Micah 1:11; Joshua 15:37,
1479,צִבְיָא,1,masculine,,"in Benjamin, Ιεβια [Iebia], A Σεβια [Sebia], 𝔊L Σαβια [Sabia].",I Chronicles 8:9,
1480,צִבְיָה,1,feminine,"'= צְבִיָּה gazelle, cf. Sta§ 192 b","—mother of Jehoash of Judah, Αβια [Abia] =, Αβια [Abia], 𝔊L Σαβια [Sabia].",II Kings 12:2; II Chronicles 24:1,
1481,צְבֹיִים,1,locative (place name),,near Sodom; = צְבֹיִם = צְבֹאִים Kt (צְבוֹיִם Qr); Σεβωειμ [Sebōeim].,Genesis 14:2; Genesis 14:8; Deuteronomy 29:22; Genesis 10:19; Hosea 11:8,
1482,צִבְעוֹן,1,masculine,,"a Horite (hyena; RSK 219; GrayProp. N. 95 and reff.);—, (in these gloss according to Di Holz), v (×2), Σεβεγων [Sebegōn].",Genesis 36:2; Genesis 36:14; Genesis 36:20; Genesis 36:24; Genesis 36:29; I Chronicles 1:38; I Chronicles 1:40,
1483,צְבֹעִים,1,locative (place name),,"in Benj.;—גֵּי הצ׳ (perhaps valley of hyenas, so Thes, cf. LagBN 36 Grayl.c.);— (according to BuhlGeogr. 98 = Wady el-Kelt, between Jerus. and Jericho), Σαμειν [Samein], 𝔊L Σαβαιν [Sabain]; cf. צ׳, A Σεβοειμ [Seboeim], 𝔊L Σεβωειν [Sebōein].",I Samuel 13:18; Nehemiah 11:34,
1484,צָדוֹק,1,masculine,,"and ( ) צָדֹק54 n.pr.m. (just, righteous; cf. Sab. n.pr. צדק CIS iv, No. 287, 1. 2. 11. 15 etc., DHMHof museum. No. 32);—Σαδωκ, Σαδδουκ [Sadōk, Saddouk] (cf. LagBN 225 ff.):—",I Kings 1:26,
1485,צִדְקִיָּ֫הוּ,1,masculine,,"-יָּה7 n.pr.m. (י׳ is righteousness; cf. Sab. צדקאל DHMib., on No. 32);—Σεδεκια [Sedekia](ς [s]):",,
1486,צוֹבָא,1,territorial (land/region),,"Σουβα [Souba], rarely Σωβα [Sōba](λ [l]): an Aramaean kingdom, time of (Saul and) David אֲרַם צוֹבָא, (elsewhere צוֹבָה), אֲרַם צוֹבָה (title); הֲדַדְעֶזֶר מֶלֶךְ צ׳, =; צ׳ also; חֲמַת צ׳; orig. home of one of David’s heroes (perhaps read also for n.pr.m. מִבְחָר ‖, cf. Dr); מַלְכֵי צ׳ (only here in Saul’s time); NöAram., in Ency. Bib., cf. ZMG xxv (1871), 113 ff. places between Hamath and Damascus (about Ḥums, Emesa), and so DlPa 279 f., who cp. Assyrian city Ṣubitu, cf. SchrCOT..",II Samuel 10:6; II Samuel 10:8; Psalms 60:2; II Samuel 8:3; II Samuel 8:5; II Samuel 8:12; I Chronicles 18:3; I Chronicles 18:5; I Kings 11:23; I Chronicles 18:9; I Chronicles 19:6; II Chronicles 8:3; II Samuel 23:36; I Chronicles 11:38; I Samuel 14:47; II Samuel 8:3,
1487,צוּעָר,1,masculine,,"Σωγαρ [Sōgar], in Issachar (little one);—always in נְתַנְאֵל בֶּן־צ׳.",Numbers 1:8; Numbers 2:5; Numbers 7:18; Numbers 7:23; Numbers 10:15,
1488,צוּף³,1,masculine,,"Ephr. ancestor of Elḳanah and Samuel, בֶּן־צ׳ (ἐν Νασειβ [en Naseib], 𝔊L υἱοῦ Σωφ [yiou Sōph]), Qr 𝔊 𝔙 (Kt ציף); appar. = צוֹפַי v (Levite), Σουφ [Souph](ει [ei]): hence prob. אֶרֶץ צוּף (in Benj., τὴν [tēn] (γὴν [gēn]) Σ [S](ε [e])ιφ [iph](α [a])).",I Samuel 1:1; I Chronicles 6:20; I Chronicles 6:11; I Samuel 9:5,
1489,צוֹפַח,1,masculine,,"in Asher, צוֹפָ֑ח v, Σωχαθ, Σωφας[ρ [r]], 𝔊L Σουφα [Soupha].",I Chronicles 7:35; I Chronicles 7:36,
1490,צוּר⁵,1,masculine,,Σουρ [Sour] (Rock);—,,
1491,צוּרִיאֵל,1,masculine,my rock is Ēl,"—a Levite, Σουριηλ [Souriēl].",Numbers 3:35,
1492,צֹ֫חַר,1,masculine,,,,
1493,צִיבָא,1,masculine,,"and ( ) צִבָא16 n.pr.m. Σ [S](ε [e])ιβα [iba]: servant of Saul’s house, (×2) + 14 times.",II Samuel 16:4; II Samuel 9:2; II Samuel 9:9; II Samuel 9:10; II Samuel 9:11,
1494,צִידוֹן,1,locative (place name),,"and (; ) צִידֹן n.pr.loc. Sîdôn, Σιδων [Sidōn], ancient Phoenician city, on coast N. of Tyre (in Assyrian Ṣidun(n)u, COTGloss; TelAm. Ṣiduna, Ph. צדן, Old Aramaic צידן; in Egypt. Dï-(d)u-na, WMMAs. u. Kur. 184);—‘first-born’ of Canaan =; northern limit of Canaanite, cf.; defined as צ׳ רַבָּה (so infr.); also; (אֱלֹהֵי צ׳); named with Tyre (cf. v ), (cf. v ), and בְּתוּלַת בַּת־צ׳ v (cf. v, etc.), (cf. v, ).—Vid. PietschPhöniz. 54 ff. PrutzAus Phönicien (1876). 98 ff. RobBR ii. 478 ff. de LuynesVoyage à la Mer Morte i. 18 ff., and Pl. vi–xi. BdPal. 3 (1898), 313 ff..",Genesis 10:15; Genesis 10:19; Genesis 49:3; Genesis 10:15; I Chronicles 1:13; Genesis 10:19; Genesis 49:13; Joshua 11:8; Joshua 19:28; Judges 1:31; Judges 10:6; Judges 18:28; I Kings 17:9; Joshua 19:28; Joshua 19:29; II Samuel 24:6; II Samuel 24:7; Isaiah 23:2; Isaiah 23:4; Isaiah 23:12; Isaiah 23:5; Jeremiah 25:22; Jeremiah 27:3; Jeremiah 47:4; Ezekiel 27:8; Ezekiel 28:21; Ezekiel 28:22; Ezekiel 28:2; Ezekiel 28:12; Zechariah 9:2; Joel 4:4,
