row,headword,sense_index,pos,etymology,definition,refs,other_refs
692,חַנָּתֹן,1,locative (place name),,"place in the tribe of Zebulun; 𝔊 Αμωθ [Amōth], A Ενναθωθ [Ennathōth], 𝔊L Αναθωθ [Anathōth]; site unknown; according to Conder = Talm. Caphar Hanania (NbrGéogr. 176, 226) on the border of Upper and Lower Galilee, mod. Kefrʾ Anân, SurveyWP i, 205, 207.",Joshua 19:14,
693,חֹסָה,2,masculine,refuge,—name of one of the Levitical doorkeepers of the temple.,I Chronicles 16:38; I Chronicles 26:10; I Chronicles 26:11; I Chronicles 26:16,
694,חֹסָה,4,locative (place name),,"place in the tribe of Asher; site unknown; 𝔊 Ιασιφ [Iasiph], A Σουσα [Sousa], 𝔊L Ωσα [Ōsa].",Joshua 19:29,
695,חַסְרָה,1,masculine,,"grandfather of Shallum who was husband of Huldah the prophetess (𝔊 A Εσσερη [Esserē], 𝔊L Ασερ [Aser]) = חַרְחַס (𝔊 Αραας [Araas], 𝔊L Αδρα [Adra]).",II Kings 22:14; II Chronicles 34:22,
696,חֻפָּה³,1,masculine,,priest of 13th course 𝔊 Οφφα [Ophpha].,I Chronicles 24:13,
697,חָפְנִי,1,masculine,Sab. n.pr. חפן Hal No. 14,—one of Eli’s two sons.,I Samuel 1:3; I Samuel 2:34; I Samuel 4:4; I Samuel 4:11; I Samuel 4:17,
698,חֶפְצִי־בָהּ,1,feminine,my delight is in her; cf. Ph. חפצבעל,—,,
699,חֵ֫פֶר,1,masculine,,,,
700,חֵ֫פֶר²,1,locative (place name),,,,
701,חָצוֹר,1,locative (place name),LagBN 47 f.,"—𝔊 Ασωρ [Asōr], etc.;",,
