rank,normalized_name,yerushalmi_count,yerushalmi_pct,bavli_term,bavli_count,bavli_pct,wikipedia_he,hebrew_term,wikidata_id,match_type,match_score,match_note,yerushalmi_variant_names
897,R' Yitzḥak bar Tevelai,2,0.0047,,,,,,,none,0,,Rebbi Isaac bar Tevelai
898,Alexander the Macedonian,2,0.0047,,,,,,,none,0,,Alexander the Macedonian
899,R' Shmuel ben Sosartai,2,0.0047,,,,,,,none,0,,Rebbi Samuel ben Sosartai
900,R' Bina,2,0.0047,,,,,,,none,0,,Rebbi Bina
901,R' Yoḥanan ben Matthew,2,0.0047,,,,,,,none,0,,Rebbi Joḥanan ben Matthew
902,Rav Naḥman bar Rav Yitzḥak,2,0.0047,Rav Naḥman bar Yitzḥak,457,0.6447,https://he.wikipedia.org/wiki/%D7%A8%D7%91_%D7%A0%D7%97%D7%9E%D7%9F_%D7%91%D7%A8_%D7%99%D7%A6%D7%97%D7%A7,רב נחמן בר יצחק,Q2124834,exact,100,,Rav Naḥman bar Rav Isaac
903,R' Mallukh,2,0.0047,,,,,,,none,0,,Rebbi Mallukh
904,R' Dositheos ben Yehudah,2,0.0047,,,,,,,none,0,,Rebbi Dositheos ben Jehudah
905,Yose ben Shimon,2,0.0047,,,,,,,none,0,,Yose ben Simeon
906,R' Nehemiah the Tanna,2,0.0047,,,,,,,none,0,,Rebbi Nehemiah the Tanna
907,R' Ḥanina the scribe,2,0.0047,,,,,,,none,0,,Rebbi Ḥanina the scribe
908,R' Nissai,2,0.0047,,,,,,,none,0,,Rebbi Nissai
909,R' Eumachos,2,0.0047,Sumakhos,100,0.1411,,,,fuzzy_edit,30,"lev=2 key=""eumachos""→""sumakhos""",Rebbi Eumachos
910,Yehoshua ben Ḥanania,2,0.0047,,,,,,,none,0,,Joshua ben Ḥanania
911,Ben Bagbag,2,0.0047,Ben Bag-Bag,22,0.0310,https://he.wikipedia.org/wiki/%D7%91%D7%9F_%D7%91%D7%92_%D7%91%D7%92,בן בג בג,Q16155143,exact,100,,Ben Bagbag
912,R' Shmuel ben Sosarta,2,0.0047,,,,,,,none,0,,Rebbi Samuel ben Sosarta
913,Ḥanania ben Shila,2,0.0047,,,,,,,none,0,,Ḥanania ben Shila
914,Yehoshua ben Nun,2,0.0047,,,,,,,none,0,,Joshua ben Nun
915,Yonah ben Amitai,2,0.0047,,,,,,,none,0,,Jonah ben Amitai
916,R' Yudan the Cappadocian,2,0.0047,,,,,,,none,0,,Rebbi Yudan the Cappadocian
917,Eliezer ben Hyrcanos,2,0.0047,,,,,,,none,0,,Eliezer ben Hyrcanos
918,Proclos ben Ploslos,2,0.0047,,,,,,,none,0,,Proclos ben Ploslos
919,R' Ḥanina bar Pappa,2,0.0047,R' Ḥanina bar Pappa,33,0.0466,,,,exact,100,,Rebbi Ḥanina bar Pappa
920,the father of R' Hoshaiah,2,0.0047,,,,,,,none,0,,the father of Rebbi Hoshaiah
921,Yitzḥak bar Yonatan,2,0.0047,,,,,,,none,0,,Isaac bar Jonathan
922,R' Yoḥanan from Kartzion,2,0.0047,,,,,,,none,0,,Rebbi Yoḥanan from Karẓion | Rebbi Joḥanan from Karṣion
923,Rav Yehudah bar Ezechiel,2,0.0047,,,,,,,none,0,,Rav Yehudah bar Ezechiel | Rav Jehudah bar Ezechiel
924,R' Tanḥum bar Illai,2,0.0047,,,,,,,none,0,,Rebbi Tanḥum bar Ilaї | Rebbi Tanḥum bar Illai
925,R' Aḥava ben R' Ze'ira,2,0.0047,,,,,,,none,0,,Rebbi Aḥava ben Rebbi Zeïra | Rebbi Aḥava ben Rebbi Zeˋira
926,R' Yehudah ben R',2,0.0047,,,,,,,none,0,,Rebbi Jehuda ben Rebbi | Rebbi Jehudah ben Rebbi
927,R' Yehudah ben Titus,2,0.0047,,,,,,,none,0,,Rebbi Jehudah ben Titus | Rebbi Judah ben Titus
928,R' Ḥizkiah from Acco,2,0.0047,,,,,,,none,0,,Rebbi Ḥizqiah from Acco | Rebbi Ḥizqiah (said) [from Acco]
929,Ben Qatin,2,0.0047,,,,,,,none,0,,Ben Qatin | Ben Qaṭin
930,R' Yose ben R' Ḥalafta,2,0.0047,,,,,,,none,0,,Rebbi Yose ben Rebbi Ḥalaphta | Rebbi Yose ben Rebbi Ḥalafta
931,R' Abba bar Natan,2,0.0047,,,,,,,none,0,,Rebbi Abba bar Nathan | Rebbi Abba bar Natan
932,R' Yehudah ben R' Abun,2,0.0047,,,,,,,none,0,,Rebbi Judah ben Rebbi Abun | Rebbi Jehudah ben Rebbi Abun
933,the Samaritans of Caesarea,2,0.0047,,,,,,,none,0,,The Samaritans of Caesarea | the Samaritans of Caesarea
934,R' Abba bar Pappus,1,0.0023,,,,,,,none,0,,Rebbi Abba bar Pappus
935,R' Ḥanina the Colleague of the Rabbis,1,0.0023,,,,,,,none,0,,Rebbi Ḥanina the Colleague of the Rabbis
936,R' Ḥanina bar Andrei,1,0.0023,,,,,,,none,0,,Rebbi Ḥanina bar Andrei
937,R' Shmuel ben Sotar,1,0.0023,,,,,,,none,0,,R. Samuel ben Soṭar
