rank,name,normalized_name,count,example_1,example_2,example_3
919,the father of Rebbi Hoshaiah,the father of R' Hoshaiah,2,Niddah 2:1.6,,
920,Isaac bar Jonathan,Yitzḥak bar Yonatan,2,Niddah 2:7.7,,
921,Rebbi Abba bar Pappus,R' Abba bar Pappus,1,Berakhot 1:1.6,,
922,R. Yehudah ben Pazi,R' Yehudah ben Pazi,1,Berakhot 1:1.10,,
923,Rebbi Samuel bar Ḥiyya bar Yehudah,R' Shmuel bar Ḥiyya bar Yehudah,1,Berakhot 1:1.13,,
924,Rebbi Ḥanina the Colleague of the Rabbis,R' Ḥanina the Colleague of the Rabbis,1,Berakhot 1:1.16,,
925,Rebbi Ḥanina bar Andrei,R' Ḥanina bar Andrei,1,Berakhot 1:1.18,,
926,R. Samuel ben Soṭar,R' Shmuel ben Sotar,1,Berakhot 1:1.18,,
927,Rebbi Yehudah ben Rebbi Ilaï,R' Yehudah ben R' Illai,1,Berakhot 1:1.23,,
928,Rebbi Eleazar ben Rebbi Menaḥem,R' Elazar ben R' Menaḥem,1,Berakhot 1:1.27,,
929,R. Samuel ben Naḥmani,R' Shmuel ben Naḥmani,1,Berakhot 1:1.29,,
930,Rebbi Zeïra the Tanna,R' Ze'ira the Tanna,1,Berakhot 1:1.31,,
931,the brother of Rav Ḥiyya bar Ashi,the brother of Rav Ḥiyya bar Ashi,1,Berakhot 1:1.31,,
932,Rebbi Yehoshua,R' Yehoshua,1,Berakhot 1:2.1,,
933,Rebbi Zabida the son of Rebbi Jacob bar Zabdi,R' Zabida the son of R' Ya'akov bar Zabdi,1,Berakhot 1:2.7,,
934,Simeon ben Abba,Shimon ben Abba,1,Berakhot 1:4.2,,
935,R. Yoḥanan,R' Yoḥanan,1,Berakhot 1:4.2,,
936,"Rebbi Ḥananiah, the son of Rebbi Ada","R' Ḥananiah, the son of R' Ada",1,Berakhot 1:4.3,,
937,Rebbi Tanḥum the son of Rebbi Ḥiyya,R' Tanḥum the son of R' Ḥiyya,1,Berakhot 1:4.3,,
